################################# CSV #######################
,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicatesFP,SizeOfPredicatesBP,Conjuncts in SSA,Conjuncts in UnsatCore,ICC %
,list-ext-properties,test-0158_1_false-valid-free.i,svComp-32bit-memsafety.epf,AutomizerC.xml,ExpectedResult: UNSAFE_FREE UltimateResult: UNSAFE_FREE   free of unallocated memory possible ,74565399.0,5590482944,1,0,0,0,0,0,1.0
,list-ext-properties,test-0513_1_true-valid-memsafety.i,svComp-32bit-memsafety-BE-Kojak.epf.epf,CodeCheckWithBE-C.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.blockencoding: IllegalArgumentException LongDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.blockencoding: IllegalArgumentException: de.uni_freiburg.informatik.ultimate.blockencoding.converter.ConversionVisitor.convertBasicEdge(ConversionVisitor.java:496)],327518579.0,5590482944,-,-,-,-,-,-,-
,product-lines,email_spec1_product22_false-unreach-call.cil.c,svComp-32bit-precise-BE-Kojak.epf,CodeCheckWithBE-C.xml,ExpectedResult: UNSAFE UltimateResult: TIMEOUT   [ShortDescription: Timeout LongDescription: Timout or Toolchain cancelled by user],120134197662.0,6309281792,-,-,-,-,-,-,-
,eca-rers2012,Problem07_label45_true-unreach-call.c,svComp-32bit-precise.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,895047005085,6441926656,-,-,-,-,-,-,-
,ldv-validator-v0.6,linux-stable-1575714-1-150_1a-drivers--net--wireless--b43--b43.ko-entry_point_false-unreach-call.cil.out.c,svComp-64bit-precise-BE-Impulse.epf,CodeCheckWithBE-C.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.cacsl2boogietranslator: NullPointerException LongDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.cacsl2boogietranslator: NullPointerException: de.uni_freiburg.informatik.ultimate.cdt.translation.implementation.base.TypeHandler.visit(TypeHandler.java:254)],192437091,3.07757056E+9,-,-,-,-,-,-,-
,recursive,McCarthy91_true-unreach-call.c,svComp-32bit-precise.epf,AutomizerC.xml,ExpectedResult: SAFE UltimateResult: SAFE   [ShortDescription: All specifications hold LongDescription: 1 specifications checked. All of them hold],385176207.0,6369574912,2,0,120,0,60,21,0.6666666666666666
,eca-rers2012,Problem07_label45_true-unreach-call.c,svComp-32bit-precise-BE-Kojak.epf,CodeCheckWithBE-C.xml,ExpectedResult: SAFE UltimateResult: NO_RESULT   NO_RESULT,894679606985,6399983616,-,-,-,-,-,-,-
,ldv-linux-3.12-rc1,linux-3.12-rc1.tar.xz-08_1a-fs--nfs--nfs.ko-entry_point_false-unreach-call.cil.out.c,svComp-64bit-precise-BE-Kojak.epf,CodeCheckWithBE-C.xml,ExpectedResult: UNSAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.cacsl2boogietranslator: NullPointerException LongDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.cacsl2boogietranslator: NullPointerException],201188544,3.07757056E+9,-,-,-,-,-,-,-
,ssh-simplified,s3_srvr_6_false-unreach-call.cil.c,svComp-32bit-precise-BE-Kojak.epf,CodeCheckWithBE-C.xml,ExpectedResult: UNSAFE UltimateResult: UNSAFE   unknown kind of specification may be violated ,1029454912.0,3100639232,-,-,-,-,-,-,-
,memsafety,test-0102_true-valid-memsafety.i,svComp-32bit-memsafety-BE-Impulse.epf.epf,CodeCheckWithBE-C.xml,ExpectedResult: SAFE UltimateResult: EXCEPTION_OR_ERROR   [ShortDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.blockencoding: IllegalArgumentException LongDescription: de.uni_freiburg.informatik.ultimate.plugins.generator.blockencoding: IllegalArgumentException: de.uni_freiburg.informatik.ultimate.blockencoding.converter.ConversionVisitor.convertBasicEdge(ConversionVisitor.java:496)],131732155.0,5592055808,-,-,-,-,-,-,-
